id,title,ISBN13,pages,authors,publisher,date
53,Hacking Exposed J2ee & Java: Developing Secure Web Applications with Java Technology,9780072225655,426,"Brian Buege,Paul Gier",McGraw-Hill/Osborne Media,September 24th 2002
54,The Java Tutorial: A Short Course on the Basics,9780321334206,672,Kathy Walrath,Addison-Wesley Professional,December 1st 2006
55,How to Program with Java,,246,Trevor Page,,October 11th 2012
56,Applied Java Patterns,9780130935380,450,Stephen A. Stelting,Prentice Hall PTR,January 5th 2002
57,Java Thread Programming: The Authoritative Solution,9780672315855,510,Paul Hyde,Sams,August 30th 1999
58,Java: How to Program,,1496,Deitel,"Pearson Education, Inc.",
59,Object-Oriented Programming and Java,9781846289620,322,Danny Poo,Springer,October 12th 2007
60,Beginning Java EE 5,9781590594704,641,"James L.  Weaver,Kevin Mukhar,Chris Zelenak",Apress,October 29th 2007
61,The Java Developer's Guide to Eclipse,9780321305022,1136,"Jim D'Anjou,Pat McCarthy,John Kellerman,Scott Fairbrother,Dan Kehn,Dave Thomson",Addison-Wesley Professional,October 1st 2004
62,Not Just Java,9780138646387,300,Peter van der Linden,Prentice Hall,February 1st 1997
63,Bluetooth for Java,9781590590782,,Bruce Hopkins,Apress,April 1st 2003
64,Programming With Java!,9781562055332,366,Tim Ritchey,New Riders Publishing,October 1st 1995
65,Java Gently,9780201342970,508,J.M. Bishop,Peachpit Press,June 1st 1998
66,Client/Server Programming With Java And Corba,9780471245780,,Robert Orfali,John Wiley & Sons,
67,Java/J2EE Job Interview Companion,,356,"Arulkumaran Kumaraswamipillai,Sivayini Arulkumaran",lulu.com,January 22nd 2008
68,Object Oriented Programming with Java: Essentials and Applications,9780070678835,676,"Rajkumar Buyya,S. Thamarai Selvi,Xingchen Chu",Tata McGraw Hill Education Private Limited,June 26th 2009
69,Java I/O,9780596527501,700,Elliote Rusty Harold,O'Reilly Media,May 26th 2006
70,"Java in a Time of Revolution: Occupation and Resistance, 1944-1946",9789793780146,516,Benedict Anderson,Equinox Publishing (Indonesia),December 1st 2005
71,Gentry: Social Change in Java: The Tale of a Family,9780987463722,270,"Umar Kayam,Vladislav Zhukov",Vladislav V Zhukov,December 28th 2014
72,"Java Network Programming, 2nd Edition",9781884777493,830,"Merlin Hughes,Conrad Hughes,Maria Winslow,Michael Shoffner,Derek Hamner",Manning Publications,May 1st 1999
73,SOA Using Java Web Services,9780130449689,574,Mark D. Hansen,Prentice Hall PTR,May 1st 2007
74,Software Architecture Design Patterns in Java,9780849321429,492,Partha Kuchana,Auerbach Publications,April 27th 2004
75,The Mountain Flora of Java,9789004153479,90,C.G.G.J. van Steenis,Brill Academic Publishers,November 14th 2006
76,Professional Java Programming,9781861003829,1111,Brett Spell,Wrox Press,December 1st 2000
77,The Ecology of Java & Bali,9789625930725,969,"Anthony J. Whitten,Suraya Afiff,Roehayat Emon Soeriaatmadja,R. S. Soeriaatmadja",Periplus Editions (HK) ltd.,1996
78,Java Design Pattern Essentials,9780956575807,248,Tony Bevis,Ability First Limited,June 18th 2010
79,Building Java Programs: A Back to Basics Approach,9780321382832,896,Stuart Reges,Addison Wesley,February 25th 2007
80,Java Script,9784274061981,454,Gaku Ueda,Ōmusha,1997
81,Java For Testers,,300,Alan        Richardson,,2013
82,Beginning Java 7,9781430239093,920,Jeff Friesen,Apress,November 16th 2011
83,Concurrent and Distributed Computing in Java,9780471432302,336,Vijay K. Garg,Wiley-IEEE Press,February 4th 2004
84,Java Style,9789625932323,,Peter Schoppert,Periplus Editions,March 1st 1998
85,Pro JPA 2: Mastering the Java Persistence API,9781430219569,503,"Mike Keith,Merrick Schincariol",Apress,November 1st 2009
86,Head First Java Code Magnets,9780596154073,10,"O'Reilly Media, Inc,O'Reilly Media, Inc",O'Reilly Media,September 1st 2008
87,Alamat ng Duhat (The Legend of the Java Plum),,32,"Segundo D. Matias Jr.,Rovi Jesher R. Salegumba","Lampara Publishing House, Inc.",2012
88,"Functional Programming for Java Developers: Tools for Better Concurrency, Abstraction, and Agility",9781449311032,90,Dean Wampler,O'Reilly Media,August 2nd 2011
89,Java 2D Graphics,9781565924840,368,Jonathan Knudsen,O'Reilly Media,May 12th 1999
90,Big Java: Early Objects,,1072,Cay S. Horstmann,Wiley,January 1st 2013
91,Java Internationalization,9780596000196,464,"Andy Deitsch,Andrew Deitsch,Andy Deitsch",O'Reilly Media,March 22nd 2001
92,My Journey from Paris to Java,,64,Honoré de Balzac,Editions Didier Millet Pte Ltd,January 2010
93,Sams Teach Yourself Java 6 in 21 Days,9780672329432,720,"Rogers Cadenhead,Laura Lemay",Sams,May 25th 2007
94,Java 5.0 Tiger: A Developer's Notebook,9780596007386,202,Brett McLaughlin,O'Reilly Media,July 2nd 2004
95,Practical Java Programming Language Guide,9780201616460,320,Pankaj Jalote,Addison-Wesley Professional,February 11th 2000
96,Arok of Java,9789810580452,387,"Pramoedya Ananta Toer,Max Lane",Horizon Books,2007
97,Java 2 Complete,9780782124682,1000,Sybex,Sybex,March 1st 1999
98,Java Exception Handling,,174,Jakob Jenkov,Jenkov Aps,February 14th 2013
99,The Java(tm) Virtual Machine Specification,9780201432947,496,"Tim Lindholm,Frank Yellin",Addison-Wesley Professional,April 24th 1999
100,"Data Structures, Algorithms, and Applications in Java",9780072450538,833,Sartaj Sahni,McGraw-Hill Companies,September 30th 1999
101,Spoorwegstations op Java,9789067073189,240,Michiel van Ballegoijen de Jong,,1993
102,La Rose de Java,9782070361748,214,Joseph Kessel,Folio,August 23rd 1972
103,Core Java 1.1: Fundamentals [With *],9780137669578,600,"Cay S. Horstmann,Gary Cornell",Prentice Hall,August 1st 1997
104,Introduction to Java Programming [With Access Code],9780132130790,731,Y. Daniel Liang,Prentice Hall,January 1st 2010
105,Java Programming: From the Ground Up,9780073523354,1085,"Ralph Bravaco,Shai Simonson",McGraw-Hill Higher Education,January 22nd 2009
106,Big Java: For Java 7 And 8 (For Java 7 & 8),9780470553091,1110,Cay S. Horstmann,John Wiley & Sons,February 1st 2010
107,Walking in the Supernatural: Another Cup of Spiritual Java,9780768440775,208,"Bill Johnson,Beni Johnson,Eric Johnson,Danny Silk,Kevin Dedmon,Banning Liebscher,Judy Franklin,Chris Overstreet,Paul Manwaring",Destiny Image,January 17th 2012
108,Introduction To Java Programming,,326,K. Somasundaram,Jaico Publishing House,2013
109,Software Engineering with Java,9780256241679,618,Stephen R. Schach,Irwin Professional Publishing,January 1st 1997
110,Java Bibliography,,86,O'Reilly Media,O'Reilly Media,July 2011
111,Java/J2ee Job Interview Companion - 400+ Questions & Answers,9781411668249,358,Arulkumaran Kumaraswamipillai,Lulu.com,November 17th 2009
112,The Lost Temple of Java,9781841880587,144,Phil Grabsky,Phoenix Illustrated,December 31st 2000
113,Java 7: A Beginner's Tutorial,9780980839616,716,Budi Kurniawan,BrainySoftware,October 1st 2011
114,Beginning Java: A Safari Tutorial,,18,Safari Content Team,Safari Books Online,August 8th 2013
115,Continuous Enterprise Development in Java,9781449328290,241,"Andrew Lee Rubinger,Dan Allen,Aslak Knutsen",O'Reilly Media,March 24th 2014
116,Restful Java Web Services,9781847196460,256,Jose Sandoval,Packt Publishing,November 15th 2009
117,Using JRuby: Bringing Ruby to Java,,300,"Charles O. Nutter,Thomas Enebo,Nick Sieger,Ola Bini,Ian Dees","The Pragmatic Programmers, LLC.",November 2010
118,Data Structures and Problem Solving Using Java,9780201549911,779,Mark Allen Weiss,Addison Wesley Publishing Company,October 1st 1997
119,Java Demystified,9780072254549,333,"Jim Keogh,Wendy Rinaldi",McGraw-Hill Companies,May 20th 2004
120,Java Nights,9780373113507,189,Karen van der Zee,Harlequin Books,
121,Java and Soap,9780596001759,278,Robert Englander,O'Reilly Media,May 27th 2002
122,Java I/O,9781565924857,600,Elliotte Rusty Harold,O'Reilly Media,March 23rd 1999
123,Schaum's Outline of Data Structures with Java,9780071476980,333,John R.  Hubbard,McGraw-Hill Companies,July 1st 2007
124,Java Threads (Java Series (O'Reilly & Associates).),9781565922167,268,"Scott Oaks,Henry Wong",O'Reilly,February 8th 1997
125,"Object-Oriented Software Engineering: Using UML, Patterns and Java",9780130471109,762,"Bernd Bruegge,Allen H. Dutoit",Prentice Hall,September 25th 2003
126,Murach's Java SE 6,9781890774424,810,"Joel Murach,Andrea Steelman",Mike Murach & Associates,April 1st 2007
127,Wireless Java Programming with Java 2,9780672321351,512,Yu Feng,Sams,May 21st 2001
128,"Java: Quick & Easy HTML Programming For Beginners in 40 Pages or Less! ( Java, Java 8, Java For Beginners): Html, Programming, Development, CSS, PHP, Java ... 7, Javascript, (Java Crash Course Book 1)",,36,"AZ Elite Publishing,Java Programming,JavaScript,Java",,October 4th 2014
129,Java Enterprise Best Practices,9780596003845,292,"O'Reilly Java Authors,O'Reilly Java Authors",O'Reilly Media,December 25th 2002
130,Introduction to Neural Networks with Java,9780977320608,380,Jeff Heaton,"Heaton Research, Inc.",November 25th 2005
131,From Java to Ruby,9780976694090,160,Bruce Tate,Pragmatic Bookshelf,June 28th 2006
132,"Java in 24 Hours, Sams Teach Yourself (Covering Java 8)",9780672337024,448,Rogers Cadenhead,Sams,May 20th 2014
133,A Programmer's Guide to Java SCJP Certification: A Comprehensive Primer,9780321556059,1039,"Khalid Mughal,Rolf Rasmussen",Addison-Wesley Professional,November 1st 2008
134,Test Driven: Practical TDD and Acceptance TDD for Java Developers,9781932394856,513,Lasse Koskela,Manning Publications,October 19th 2007
135,Java Programming for Android Developers for Dummies,9781118504383,434,Barry Burd,For Dummies,November 4th 2013
136,Batik: Fabled Cloth of Java,9780794602437,240,"Inger McCabe Elliott,Brian Brake",Periplus Editions,May 15th 2004
137,"Head First Design Patterns, 10th Anniversary Edition (Covers Java 8)",9789352132775,696,"Eric Freeman,Elisabeth Robson,Bert Bates,Kathy Sierra",Shroff/O'Reilly,
138,Rails for Java Developers,9780977616695,311,"Stuart Halloway,Justin Gehtland",Pragmatic Bookshelf,February 1st 2007
139,Professional Java Server Prog Ramming J2ee Edition,9781861004659,1633,"Subrahmanyam Allamaraju,Daniel O'Connor,Andrew Longshaw",Wrox Press,September 27th 2000
140,Java Programming Interviews Exposed,9781118722862,368,Noel Markham,Wrox Press,February 17th 2014
141,Big Java 5th Edition for Java 9 and 10,9781118431115,1104,Cay S. Horstmann,John Wiley & Sons,January 22nd 2013
142,Practical API Design: Confessions of a Java Framework Architect,9781430209737,387,Jaroslav Tulach,Apress,July 1st 2008
143,Java Modeling in Color with UML: Enterprise Components and Process (Java Series),9780130115102,221,"Peter Coad,Eric Lefebvre,Jeff de Luca",Prentice Hall,June 15th 1999
144,Data Structures: Abstraction and Design Using Java,9780470128701,803,"Elliot B. Koffman,Paul A.T. Wolfgang",John Wiley & Sons,January 26th 2010
145,JAVA PROGRAMMING Vol.1,,,วีระศักดิ์ ซึงถาวร,,
146,Java Message Service,9780596000684,240,"David A. Chappell,David Chappell",O'Reilly Media,December 11th 2000
147,Data Structures Using Java,9780130477217,670,"Moshe J. Augenstein,Aaron M. Tenenbaum,Yedidyah Langsam",Pearson,March 15th 2003
148,Fundamentals of Programming Using Java,9781844804511,264,Edward Currie,Thomson,April 1st 2006
149,Gardens in Java,,86,"Denys Lombard,John N. Miksic",Ecole Francaise d'Extreme-Orient,December 2010
150,"A Field Guide to the Birds of Borneo, Sumatra, Java, and Bali: The Greater Sunda Islands",9780198540342,692,"John MacKinnon,Karen Phillipps,Paul Andrew,Frank Rozendaal","Oxford University Press, USA",August 26th 1993
151,A Shadow Falls: In The Heart Of Java,9780571235865,318,Andrew Beatty,Faber & Faber,May 1st 2009
152,Just Java 2,9780131482111,848,Peter van der Linden,Prentice Hall,July 1st 2004
153,Java 2: A Beginner's Guide,9780072127423,570,Herbert Schildt,McGraw-Hill/Osborne Media,November 21st 2000
154,Java Programming [With CDROM],9780324599510,881,Joyce Farrell,Course Technology,January 29th 2009
155,Java Development with Ant,9781930110588,672,"Erik Hatcher,Matthew Robinson,Steve Loughran,Sam Ruby,Pavel Vorobiev,Inventor of Java",Manning Publications,August 1st 2002
156,Murach's Java Programming,9781890774653,836,Joel Murach,Mike Murach & Associates,November 1st 2011
157,"Java Precisely, 2nd Edition",9780262693257,168,Peter Sestoft,The MIT Press,June 28th 2005
158,"Java, Java, Java, Object-Oriented Problem Solving (3rd Edition)",9780131474345,880,"Ralph Morelli,Ralph Walde",Prentice Hall,January 1st 2006
159,Inside the Java Virtual Machine [With CDROM],9780079132482,579,Bill Venners,McGraw-Hill Companies,December 28th 1997
160,Java Design Patterns: A Tutorial,9780201485394,352,James W. Cooper,Addison-Wesley Professional,February 13th 2000
161,Java Extreme Programming Cookbook,9780596003876,288,"Eric M. Burke,Brian M. Coyner",O'Reilly Media,March 18th 2003
162,Teach Yourself Java,9780078825705,707,Joe O'Neil,McGraw-Hill Education,October 22nd 1998
163,Java 7 Concurrency Cookbook,9781849687881,386,Javier Fernández,packt publishing,October 2012
164,Java Phrasebook,9780672329074,211,Timothy R. Fisher,Sams,November 16th 2006
165,Soa with Java,9780132435895,848,"Thomas Erl,Satadru Roy,Phillip Thomas,Andre Tost,Khanderao Kand,Raj Balasubramanian",Prentice Hall,March 28th 2013
166,Teach Yourself Java In 21 Days,9781575210308,,"Laura Lemay,Charles L. Perkins",Sams,February 1st 1996
167,Java RMI,9781565924529,576,William Grosso,O'Reilly Media,October 29th 2001
168,C++ for Java Programmers,9780139194245,304,Mark Allen Weiss,Pearson,November 7th 2003
169,Java Servlet & JSP Cookbook,9780596005726,748,Bruce W. Perry,O'Reilly Media,January 28th 2004
170,Developing Games in Java,752063324776,1008,David Brackeen,New Riders Publishing,August 21st 2003
171,Rimbaud in Java: The Lost Voyage,9789814260824,128,Jamie James,Editions Didier Millet,October 16th 2011
172,Java Programming: Advanced Topics,9780619159689,968,Joe Wigglesworth,Course Technology,September 3rd 2003
173,Data Structures and Algorithms in Java,9780534492526,768,Adam Drozdek,Cengage Learning,September 24th 2004
174,Java Black Book: The Java Book Programmers Turn To First,9781576105313,1200,Steven Holzner,Coriolis Group Books,January 10th 2000
175,Groovy Recipes: Greasing the Wheels of Java,9780978739294,250,"Scott Davis,Venkat Subramaniam",Pragmatic Bookshelf,February 25th 2008
176,Java Programming,9781285081953,1084,Joyce Farrell,Course Technology,January 31st 2013
177,Beginning Cryptography with Java,9780764596339,448,David Hook,Wrox Press,August 19th 2005
178,"The History of Java, Volume 1",9781149013151,596,Thomas Stamford Raffles,Nabu Press,April 20th 2010
179,Java Power Tools,9780596527938,912,John  Smart,O'Reilly Media,April 29th 2008
180,Step By Step Teknik Hacking + DVD,,308,Java Creativity,Elex Media Komputindo,September 17th 2014
181,House of Java,9781561633289,96,Mark     Murphy,NBM Publishing,August 1st 2002
182,Java Reflection in Action,9781932394184,273,"Ira R. Forman,Nate Forman",Manning Publications,October 1st 2004
183,Java Programming: From Problem Analysis To Program Design,9781423901358,1055,D.S. Malik,Cengage Learning,February 27th 2007
184,Java 8 Lambdas: Pragmatic Functional Programming,9781449370770,182,Richard Warburton,O'Reilly Media,April 22nd 2014
185,Java: Learn Java Programming FAST!,,106,Sean Truman,,November 17th 2014
186,Java Web Services,9780596002695,278,"David A. Chappell,Tyler Jewell",O'Reilly Media,March 25th 2002
187,Effective Enterprise Java,9780321130006,496,"Ted Neward,Dion Almaer",Addison-Wesley Professional,September 5th 2004
188,Introduction to Algorithms and Java CD-ROM,9780072970548,1056,"Thomas H. Cormen,Ronald L. Rivest,Charles E. Leiserson,Clifford Stein",McGraw-Hill Science/Engineering/Math,December 16th 2003
189,On Becoming a Dinosaur: A Typesetter Speaks,,,Java Davis,Java Davis,
190,Java with the Judges,9780899572215,144,Sandra L. Glahn,AMG Publishers,March 24th 2006
191,Professional Java Development with the Spring Framework,9780764574832,644,"Rod  Johnson,Jürgen Höller,Alef Arendsen,Thomas Risberg,Colin Sampaleanu",Wiley Publishing,July 1st 2005
192,Java SOA Cookbook,9780596520724,742,Eben Hewitt,O'Reilly Media,April 2nd 2009
193,"Black Sun, Red Moon: A Novel of Java",9780957630529,338,Rory Marron,Seventh Citadel,August 15th 2013
194,Java,9789625932446,412,Periplus Editors,Periplus Editions,April 20th 2001
195,Java Message Service,9780596522049,330,"Mark Richards,Richard Monson-Haefel,David Chappell,David A. Chappell",O'Reilly Media,June 4th 2009
196,Data Structures and Algorithms Made Easy in Java: 700 Data Structure and Algorithmic Puzzles,9781466304161,440,Narasimha Karumanchi,Createspace Independent Publishing Platform,September 14th 2011
197,Java Swing,9781565924550,1255,"Robert Eckstein,Marc Loy,Dave Wood",O'Reilly Media,September 11th 1998
198,Java Programming,9780071633604,642,"Poornachandra Sarang,Sarang Poornachandra",McGraw-Hill/Osborne Media,February 14th 2012
199,Beginning Java EE 7,,603,Antonio Goncalves,Apress,June 26th 2013
200,Java: An Introduction to Computer Science and Programming,9780131013780,976,Walter J. Savitch,Prentice Hall,April 7th 2003
201,An Introduction to Object-Oriented Programming with Java,9780072396843,863,C. Thomas Wu,McGraw-Hill Companies,January 1st 2000
202,Java Network Programming,9781565922273,442,Elliotte Rusty Harold,O'Reilly Media,January 11th 1997
203,Java Enterprise in a Nutshell,9780596101428,896,"Jim Farley,William Crawford,Prakash Malani,Justin Gehtland,John G. Norman",O'Reilly Media,December 2nd 2005
204,Java Servlet Programming,9781565923911,526,Jason Hunter,O'Reilly Media,November 11th 1998
205,Play for Java,9781617290909,325,"Nicolas Leroux,Sietse de Kaper",Manning Publications,January 28th 2014
206,Making Java Groovy,9781935182948,368,Kenneth Kousen,Manning,
207,"Professional Java Server Programming J2ee, 1.3 Edition",9781861005373,1300,"Subrahmanyam Allaramaju,Subrahmanyam Allaramaju",Wrox Press,September 27th 2001
208,Java Joe,,242,Joe Setiawan,Bentang Pustaka,2008
209,A Cup of Java,9789799589897,144,"Gabriella Teggia,Mark Hanusz",Equinox Publishing (Asia) Pte. Ltd.,February 15th 2004
210,The Art of Java,9780072229714,370,"Herbert Schildt,James Holmes",McGraw-Hill/Osborne Media,July 25th 2003
211,Java EE 7 Essentials,9781449370176,362,Arun Gupta,O'Reilly Media,September 3rd 2013
212,Java Head,9781417918225,256,Joseph Hergesheimer,Kessinger Publishing,May 1st 2005
213,South to Java,9780933852709,460,William P. Mack Jr.,Nautical & Aviation Publishing Company of Ame,
214,Objects First with Java: A Practical Introduction Using BlueJ,9780131976290,520,"David J. Barnes,Michael Kölling",Prentice Hall,June 15th 2006
215,Ajax on Java,9780596101879,211,Steven Douglas Olson,O'Reilly Media,February 1st 2007
216,Design Patterns in Java,9780321333025,461,"Steven John Metsker,William C. Wake",Addison-Wesley Professional,March 1st 2006
217,Java Programming,9781423901280,811,Joyce Farrell,Course Technology,February 6th 2007
218,Java Ee 5 For Beginners,9788184045697,1112,"Ivan Bayross,Sharanam Shah,Cynthia Bayross,Vaishali Shah",Shroff Publishers &amp Distributors Pvt. Ltd.,2008
219,"Algorithms in Java, Parts 1-4",9780201361209,768,"Robert Sedgewick,Michael Schidlowsky",Addison-Wesley Professional,August 2nd 2002
220,UML for Java Programmers,9780131428485,288,"Robert C. Martin,Ira Reed",Prentice Hall PTR,June 6th 2003
221,Database Programming with JDBC & Java,9781565926165,350,George Reese,O'Reilly Media,August 31st 2000
222,Java Servlet Programming,9780596000400,780,"Jason Hunter,William Crawford",O'Reilly Media,April 13th 2001
223,Schaum's Outline of Programming with Java,639785386216,360,John R.  Hubbard,McGraw-Hill Education,April 16th 2004
224,Programming In Java 2,9788179924174,,K. Somasundaram,,
225,The Art & Science of Java: An Introduction to Computer Science,9780321486127,587,Eric S. Roberts,Addison Wesley Publishing Company,February 1st 2007
226,Mysticism in Java,,168,Niels Mulder,Kanisius,November 1st 1999
227,Introduction to Programming in Java: An Interdisciplinary Approach,9780321498052,723,Robert Sedgewick,Addison Wesley Longman,August 1st 2007
228,"Proceedings of the Court Martial, Held on the Officers and Crew of His Majesty's Late Ship, the Java. --",9781359364500,32,Java Java,Palala Press,May 24th 2016
229,Beginning Java 2,9780764543654,1200,Ivor Horton,Wrox Press,March 29th 2002
230,Island of Java,9789628734238,428,"John Joseph Stockdale,John Bastin",Periplus Editions (HK) ltd.,March 15th 2004
231,Människans jord - en kärleksroman från Java,,266,"Pramoedya Ananta Toer,Sonja Berg Pleijel",Norstedts,August 1992
232,Programming Android: Java Programming for the New Generation of Mobile Devices,9781449316648,566,"Zigurd Mednieks,Laird Dornin,G. Blake Meike,Masumi Nakamura",O'Reilly Media,October 19th 2012
233,"Java Concepts, Compatible with Java 5 and 6, 5th Edition",9780470105559,702,Cay S. Horstmann,John Wiley and Sons,March 5th 2007
234,Esensi-Esensi Bahasa Pemrograman JAVA,,832,"Bambang Hariyanto, Ir., MT.",Penerbit Informatika Bandung,2003
235,"On the Subject of ""Java""",9780801499630,,John Pemberton,Cornell University Press,February 3rd 2012
236,Java Nio,9780596002886,304,Ron Hitchens,O'Reilly Media,September 3rd 2002
237,The Magus of Java: Teachings of an Authentic Taoist Immortal,9780892818136,224,Kosta Danaos,Inner Traditions,June 1st 2000
238,Karel the Robot Learns Java,,37,Eric S. Roberts,Stanford Universit,2005
239,Java: The Good Parts,9780596803735,196,Jim Waldo,O'Reilly Media,May 6th 2010
240,Data Structures Using Java,9780619159504,833,"D.S. Malik,P.S. Nair",Course Technology,April 3rd 2003
241,"Better, Faster, Lighter Java",9780596006761,266,"Bruce Tate,Justin Gehtland",O'Reilly Media,June 4th 2004
242,The Java Handbook,9780078821998,424,Patrick Naughton,Osborne Publishing,March 22nd 1996
